,index,Borough,Distance,ID,Latitude,Longitude,Name,Ratings,Label
197,8,Queens,4914,572ab7aacd10542de3825462,40.732379214431475,-73.86643010774048,Retro Fitness,8.1,14
198,9,Queens,6053,5ca69acccc7d41003854bab5,40.73036,-73.74407,Blink Fitness,7.5,15
199,10,Queens,5516,59a5c9f4dd70c5723c680227,40.75080886673038,-73.85805429691129,Blink Fitness Corona,6.9,14
200,11,Queens,4273,56f16c10498ecc5661fbd540,40.68159328406715,-73.83790012950878,Blink Fitness Ozone Park,7.7,2
201,12,Queens,4805,5b7a02618b98fd002cb9408d,40.69201412559257,-73.7646757850673,TrainWithDrew (TWD) Fitness Studio,7.365217391304349,15
202,13,Queens,1483,4b57b30cf964a520973c28e3,40.70248380527783,-73.81902730855766,Planet Fitness,6.2,2
203,14,Queens,1560,56992083498ebed0363cffa8,40.71398936722483,-73.83134454479342,24 Hr Fitness Kew Gardens,7.365217391304349,2
204,15,Queens,359,51a7e554498e7bc12ff44979,40.71174621582031,-73.81277465820312,BTC Fitness Centre,7.365217391304349,6
205,16,Queens,3020,4f21f794e4b03bdcfa48c587,40.72203,-73.847458,International Karate & Fitness Center,7.365217391304349,2
206,17,Queens,861,58f8842935f983023f386911,40.71382571104452,-73.82298588752745,RJ's Personal Fitness,7.365217391304349,2
207,18,Queens,1293,4eea8bbe0e6107eb8cbaceda,40.71417474396768,-73.82818959145132,Bally's Total Fitness,7.365217391304349,2
208,19,Queens,5685,4afe2dd7f964a520882e22e3,40.763665846982555,-73.83321052169947,Bodhi Fitness Center,7.6,2
209,20,Queens,1169,4d2625cad2668cface1dc5db,40.71537966666667,-73.826744,Prohealth & Fitness,7.365217391304349,2
210,21,Queens,2216,5ac3df4a6fd6266a0496fee9,40.7182109,-73.838808,Fitness for Women Forrest Hill,7.365217391304349,2
211,22,Queens,6030,5702424b498ed431354fa4c2,40.67244492876987,-73.85716187419138,LA Fitness,8.5,14
212,23,Queens,6421,5beed19b4acb19002c682f47,40.76297696377925,-73.77067877386156,Orangetheory Fitness,7.7,15
213,24,Queens,7426,4cd276352b52a093d0f61e39,40.76913367512292,-73.86431257814921,Marriott Fitness Center,7.365217391304349,14
214,25,Queens,2732,54e2bd1d498ee090062f293a,40.69103,-73.80575,Fitness Tech NY,7.365217391304349,6
215,26,Queens,2771,55696e16498e7fd14d95c6a9,40.72034754809508,-73.8449703711509,The Fitness Detective,7.365217391304349,2
216,27,Queens,5064,5d2502fc7226a500234bf671,40.67896349999999,-73.7762108,Crunch Fitness,7.365217391304349,15
217,28,Queens,6305,587d80f86b0cdb0902f10343,40.66227839057843,-73.8403106734463,Limitless Fitness Studio,7.365217391304349,2
218,29,Queens,3215,4e13e2eec65bedaeefb8c7da,40.691202,-73.834543,Fitness Room,7.365217391304349,2
219,30,Queens,7234,4bc5f71ff360ef3b43e2da2d,40.66539215799292,-73.75747060035175,Cross Island Sports & Fitness,7.3,15
220,31,Queens,3958,5b0374a9f96b2c002d7ec335,40.698555,-73.771277,Dynamic Fitness,7.365217391304349,15
221,32,Queens,4293,4c3a0ba42c8020a15cad8d00,40.718479599125565,-73.8635746321978,W Fitness,7.4,14
222,33,Queens,1580,51b7c071498e392a0b53d6b6,40.7015572553626,-73.8067398183876,KT Fitness Studio,7.365217391304349,6
223,34,Queens,1753,513dc9c819a925222425031c,40.71582044086212,-73.83364017807888,Pharaohs Army Fitness,7.0,2
224,35,Queens,1957,4ef2691bf7905f06f030688d,40.70277166505419,-73.79619295413903,Zoom Fitness,7.365217391304349,6
225,36,Queens,5587,54699611498e64b49d8ae295,40.75449982648317,-73.8537170974238,Fitness Center Holiday Inn Laguardia,7.365217391304349,14
226,37,Queens,6832,5c6ba71efd9d73002c4999c2,40.65704384346762,-73.83963944454774,Planet Fitness,7.4,2
227,38,Queens,1853,4b154febf964a5207caf23e3,40.72402914913341,-73.79445765744263,Carnesecca Arena,8.0,6
